0,Provider.ID,Hospital.Name,Address,City,State,ZIP.Code,County.Name,Phone.Number,HCAHPS.Measure.ID,HCAHPS.Question,HCAHPS.Answer.Description,HCAHPS.Answer.Percent,Number.of.Completed.Surveys,Survey.Response.Rate.Percent,Location,0,Grade,,
57581,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",71,Between 100 and 299,35%,42.58599277,-72.20803166,Med Exp,0.853333333,Athol Memorial Hospital
57582,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",15,Between 100 and 299,35%,42.58599277,-72.20803166,0,0,Athol Memorial Hospital
57583,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",14,Between 100 and 299,35%,42.58599277,-72.20803166,0,0,Athol Memorial Hospital
57589,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",68,Between 100 and 299,35%,42.58599277,-72.20803166,Room Quietnes,0.87,Athol Memorial Hospital
57590,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",7,Between 100 and 299,35%,42.58599277,-72.20803166,0,0,Athol Memorial Hospital
57591,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",25,Between 100 and 299,35%,42.58599277,-72.20803166,0,0,Athol Memorial Hospital
57572,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",83,Between 100 and 299,35%,42.58599277,-72.20803166,Bedside Manner,0.93,Athol Memorial Hospital
57573,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",4,Between 100 and 299,35%,42.58599277,-72.20803166,0,0,Athol Memorial Hospital
57574,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",13,Between 100 and 299,35%,42.58599277,-72.20803166,0,0,Athol Memorial Hospital
57569,221303,Athol Memorial Hospital,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",83,Between 100 and 299,35%,42.58599277,-72.20803166,Nurse Quality,0.933333333,Athol Memorial Hospital
